total number of days 731,,
Day,Year,Inflow
1 , 2019 , 5861.431914831804
2 , 2019 , 6133.979192511099
3 , 2019 , 7298.226586019071
4 , 2019 , 7120.33949292538
5 , 2019 , 6597.739800569951
6 , 2019 , 7016.533610846119
7 , 2019 , 8161.043354391447
8 , 2019 , 7515.770814316151
9 , 2019 , 6797.435557949926
10 , 2019 , 6372.037301512431
11 , 2019 , 5687.09562155699
12 , 2019 , 4925.888845905591
13 , 2019 , 5504.851670715228
14 , 2019 , 5392.149627814206
15 , 2019 , 5649.872040115793
16 , 2019 , 6231.672209671364
17 , 2019 , 6481.221378861499
18 , 2019 , 8382.7124004072
19 , 2019 , 6223.3125933727315
20 , 2019 , 6080.174757777408
21 , 2019 , 6514.772190117606
22 , 2019 , 7290.060182179549
23 , 2019 , 3446.902060599333
24 , 2019 , 5339.394321181076
25 , 2019 , 5111.628878032182
26 , 2019 , 6328.943526575262
27 , 2019 , 6357.431960877347
28 , 2019 , 6392.241140972485
29 , 2019 , 7273.152184555578
30 , 2019 , 6522.789502067216
31 , 2019 , 6919.896865645102
32 , 2019 , 6571.107373247732
33 , 2019 , 7293.804453008285
34 , 2019 , 6616.834575963572
35 , 2019 , 6068.593016955183
36 , 2019 , 6077.31507904594
37 , 2019 , 6488.691200772666
38 , 2019 , 5863.549531451776
39 , 2019 , 6207.213483639758
40 , 2019 , 7081.775071784192
41 , 2019 , 6641.693603523564
42 , 2019 , 5732.14790314151
43 , 2019 , 5511.574940758236
44 , 2019 , 6083.719338522311
45 , 2019 , 5692.843455486008
46 , 2019 , 6953.053895282624
47 , 2019 , 7301.390471620291
48 , 2019 , 5917.696208513735
49 , 2019 , 5765.771982370829
50 , 2019 , 5203.404446433856
51 , 2019 , 5094.796026066906
52 , 2019 , 4621.700526335262
53 , 2019 , 5114.624092958816
54 , 2019 , 4571.097342778277
55 , 2019 , 4503.583846504681
56 , 2019 , 4935.2810613486
57 , 2019 , 5482.995490933159
58 , 2019 , 4720.67308459199
59 , 2019 , 5459.703547211844
60 , 2019 , 7416.4980644532125
61 , 2019 , 27591.114926987117
62 , 2019 , 8662.731491671015
63 , 2019 , 10627.648196256403
64 , 2019 , 9746.897860105471
65 , 2019 , 11297.567053539191
66 , 2019 , 9706.11943751348
67 , 2019 , 7990.5492677942275
68 , 2019 , 7378.207017727662
69 , 2019 , 7492.376773024012
70 , 2019 , 7543.518523882408
71 , 2019 , 7002.182935962637
72 , 2019 , 7140.981129154897
73 , 2019 , 5707.9701860655205
74 , 2019 , 5767.404468457295
75 , 2019 , 9557.522047059707
76 , 2019 , 8576.09397612694
77 , 2019 , 8828.080138796513
78 , 2019 , 8290.02833983288
79 , 2019 , 8042.929487664725
80 , 2019 , 7982.516227594173
81 , 2019 , 8264.749628666752
82 , 2019 , 7545.5595754167225
83 , 2019 , 8196.738638170664
84 , 2019 , 9624.790804307024
85 , 2019 , 10729.373887271448
86 , 2019 , 9133.410873903005
87 , 2019 , 8861.753454834019
88 , 2019 , 8731.149737606964
89 , 2019 , 9401.835089738426
90 , 2019 , 7093.876119162538
91 , 2019 , 7918.244590350542
92 , 2019 , 8678.234038871406
93 , 2019 , 9173.293781784443
94 , 2019 , 8816.474009130716
95 , 2019 , 9374.725538996956
96 , 2019 , 9227.022571592517
97 , 2019 , 10231.815492630722
98 , 2019 , 8686.092511159704
99 , 2019 , 8702.427593522187
100 , 2019 , 8199.684867891463
101 , 2019 , 7993.1357206903485
102 , 2019 , 7184.469896770671
103 , 2019 , 7115.523232405394
104 , 2019 , 9598.17814503691
105 , 2019 , 9677.538395251917
106 , 2019 , 10653.777767951618
107 , 2019 , 11677.931271512532
108 , 2019 , 11551.189223230163
109 , 2019 , 12934.26193275547
110 , 2019 , 13791.205678232704
111 , 2019 , 14712.437299903717
112 , 2019 , 17918.992832712167
113 , 2019 , 16913.39895453015
114 , 2019 , 15844.518605014324
115 , 2019 , 18328.700590902703
116 , 2019 , 22439.374235478237
117 , 2019 , 23448.979233071746
118 , 2019 , 22244.79253582767
119 , 2019 , 23063.19097501952
120 , 2019 , 24685.08066912881
121 , 2019 , 25565.57566432444
122 , 2019 , 26988.1256456755
123 , 2019 , 24326.596785451635
124 , 2019 , 24894.66284755234
125 , 2019 , 23938.252111771344
126 , 2019 , 28588.44320727734
127 , 2019 , 31105.6820094796
128 , 2019 , 28792.77585223825
